period,p10,p50,p90
2025Q1,0.304,0.304,0.304
2025Q2,0.29690880698830635,0.30039298476483267,0.304316902516917
2025Q3,0.29171956456707804,0.2968830777436319,0.3020063940264892
2025Q4,0.2870083344484004,0.2931593218399878,0.29979547024782777
2026Q1,0.28222216754112417,0.2897976548599849,0.2973238391480942
2026Q2,0.2778718714546226,0.28613761306145036,0.294715016450247
2026Q3,0.27386491939552343,0.28256075667082414,0.29194175177448634
2026Q4,0.2699205924093954,0.2786291054476113,0.28890108590908775
2027Q1,0.2658051388178275,0.2753860007415116,0.2862857800998758
2027Q2,0.261297651143368,0.2718222267548258,0.28335488200285835
2027Q3,0.25787021110070896,0.2680266730184614,0.2800412855868712
2027Q4,0.2540758630305256,0.26471723269239117,0.27737165873911807
2028Q1,0.2499680098365147,0.2610240367600974,0.2739377811467709
2028Q2,0.24612711773992282,0.2577133760758054,0.2708776284410021
2028Q3,0.24244826399681813,0.25444545073920777,0.2682777831040709
2028Q4,0.23892630142623708,0.25114798010716083,0.2650248981060382
2029Q1,0.23556459599815174,0.2480960551975535,0.2619976395891967
2029Q2,0.2322098718710161,0.24523329326364,0.258923901206875
2029Q3,0.22861569588688999,0.24180412968975387,0.2558545187003082
2029Q4,0.22564662215425035,0.23822827508569144,0.2529449599112075
2030Q1,0.22233979948562213,0.23537899587920771,0.2500296249087441
2030Q2,0.21942862129233845,0.23262289511192252,0.24726282428433552
2030Q3,0.21631969404115833,0.2294684861502145,0.24449411816256578
2030Q4,0.21292044945638403,0.22639394594792217,0.24157796532601528
2031Q1,0.20962861634339128,0.2234048539937176,0.23888853489513684
2031Q2,0.20631998837273854,0.22040874079911016,0.2362321611749817
2031Q3,0.20338351785844247,0.2178732924125516,0.23345869549195794
2031Q4,0.1998571836063881,0.21525357500351933,0.23081919098056328
2032Q1,0.19690288717383356,0.21159634851651965,0.22776433366743304
2032Q2,0.19420205118563227,0.2087984793004857,0.22513964526689642
2032Q3,0.1912333465813944,0.2058996612537707,0.22193510285583395
2032Q4,0.18880850596735452,0.20262680131709684,0.21961441224905523
2033Q1,0.18527532489111187,0.20015976595810453,0.21627417827112624
2033Q2,0.18291843415570866,0.1972440689934875,0.21342934153869358
2033Q3,0.18009794047874553,0.1945315881306386,0.21108536086575536
2033Q4,0.1774275090676145,0.19187730193860464,0.20865831465901394
2034Q1,0.17455964735954863,0.1894197885891596,0.20524072489084919
2034Q2,0.17193006218211193,0.18672574560155836,0.2030986742675422
2034Q3,0.1694549756400543,0.18448439853168588,0.20039340899197103
2034Q4,0.1661399787916931,0.18159985203010443,0.19751600281605153
2035Q1,0.16348450493793468,0.1785339007953579,0.19522867163779356
2035Q2,0.16115328180500987,0.1763645601830681,0.1928111248047274
2035Q3,0.15832710806699343,0.1738438663818569,0.19050696566381267
2035Q4,0.15611166036504634,0.17126236062263744,0.18782833506341992
2036Q1,0.15374639974580737,0.16872034158729216,0.18560102281934598
2036Q2,0.15142617978425735,0.16607174866380423,0.18331287845259367
2036Q3,0.14936643817983813,0.16363213031328722,0.1810681905471739
2036Q4,0.14708569381985395,0.16144798580192277,0.1786561780699473
2037Q1,0.1443560288658245,0.1590702340641929,0.17609497025775492
2037Q2,0.14228184430378174,0.15712164972197323,0.1744957107269791
2037Q3,0.13994126946532423,0.15496724769419717,0.1715566677646578
2037Q4,0.13792088419016427,0.15270515481799402,0.16915400201169656
2038Q1,0.13541412856462362,0.15034722868303013,0.1667284325014412
2038Q2,0.1338274129211933,0.14836248598477642,0.1642043959978461
2038Q3,0.13179624306630872,0.14594584928867116,0.1617023532966445
2038Q4,0.12911844287960617,0.14372292237870044,0.16007110623010637
2039Q1,0.12679423058555694,0.14171458243462787,0.1584147083138924
2039Q2,0.12438791487920291,0.1397732454952925,0.15580772475262838
2039Q3,0.1228623760191997,0.1377232164787529,0.15452368993921123
2039Q4,0.12071362192615787,0.13555861901694716,0.1519757956400778
2040Q1,0.11884203143241084,0.13343853035822162,0.15021391064608244
2040Q2,0.11746446405324984,0.1315176064728951,0.1478212705248335
2040Q3,0.11544850167629882,0.12946438728074922,0.14614429918934219
2040Q4,0.11350015988722299,0.12743490091554976,0.14427286844558634
2041Q1,0.112097111085928,0.12546168478741948,0.14271615720311903
2041Q2,0.11014922731978062,0.12375907779392904,0.14090631084144856
2041Q3,0.10826562957152074,0.1220889470118997,0.13837799536270454
2041Q4,0.1065158268526298,0.11999443907692739,0.13637506499825564
2042Q1,0.10467593105914665,0.11799726980248527,0.13430824789881216
2042Q2,0.10283547762631602,0.1159524500238793,0.13242555657797606
2042Q3,0.10070635381735636,0.11414637522133741,0.13094410571770887
2042Q4,0.09945799620502752,0.11245649958659067,0.12856326824129477
2043Q1,0.0978337449794276,0.11095432475453054,0.12690715124852983
2043Q2,0.09624882302205198,0.1091723807033944,0.12493747309320026
2043Q3,0.09469337329470918,0.10760368340543708,0.12308581404979936
2043Q4,0.09312090551648361,0.10590505058935257,0.12138164226237447
2044Q1,0.09139408741461584,0.10457905132312584,0.12020895985701671
2044Q2,0.08989530600131113,0.10326821066566036,0.11828459388404558
2044Q3,0.08860490855733406,0.10156020075627484,0.11631988987956182
2044Q4,0.08710626469362202,0.10002212568189392,0.11509413494746037
2045Q1,0.08577451271673707,0.09834287880981117,0.11336957012586835
2045Q2,0.0839914821664681,0.09677537048408069,0.11178641499530681
2045Q3,0.0822633801579268,0.09532558959749776,0.10988885996444794
2045Q4,0.08090189024171934,0.09407177384666489,0.10804621953159807
2046Q1,0.0800781012063549,0.09230368317681732,0.10666968413994395
2046Q2,0.07851136598531733,0.09063330354121969,0.10511735736635759
2046Q3,0.07732376049442176,0.08922054475372289,0.10351702327415388
2046Q4,0.07589724465304053,0.08776068447932066,0.1022738085431113
2047Q1,0.07474069678412167,0.08623174775313641,0.10024229758569737
2047Q2,0.07319204321992753,0.08498471886693598,0.09891151979768643
2047Q3,0.0721116285169561,0.08389105072352696,0.09766605537873946
2047Q4,0.07086381251763578,0.08252231454976397,0.09601961518709022
2048Q1,0.06917122355035989,0.08126423361855667,0.09459992225801905
2048Q2,0.06836860716170685,0.0797410000659464,0.09328973941367148
2048Q3,0.06722559884668386,0.0788939624059807,0.09171631281395394
2048Q4,0.06624499331436504,0.07762033826048792,0.08995150980545079
2049Q1,0.06519720469036763,0.07630480686238361,0.08872816083993038
2049Q2,0.06377947885546228,0.07509176773068867,0.08747903876921642
2049Q3,0.06310773074335285,0.07384005460741291,0.08605474335435673
2049Q4,0.06204897203563763,0.07261626288841677,0.08468286005188021
