year,sector,shap_value,direction,sector_label
1991,unemployment_rate,3.1722943782806396,positive,Labor Market
1991,brent_annual_avg_usd,1.3684589862823486,positive,Oil Price
1991,trade_pct_gdp,0.016860032454133034,positive,Trade
1991,gross_capital_formation_pct,-0.7056006193161011,negative,Investment
1991,services_va_pct_gdp,-0.7626739144325256,negative,Services
1991,industry_va_pct_gdp,-1.3747656345367432,negative,Industry
1991,agriculture_va_pct_gdp,-6.442920684814453,negative,Agriculture
1992,trade_pct_gdp,-0.9335688948631287,negative,Trade
1992,gross_capital_formation_pct,-1.1299993991851807,negative,Investment
1992,services_va_pct_gdp,-1.3996245861053467,negative,Services
1992,brent_annual_avg_usd,-1.892935872077942,negative,Oil Price
1992,industry_va_pct_gdp,-3.362920045852661,negative,Industry
1992,unemployment_rate,-3.661022663116455,negative,Labor Market
1992,agriculture_va_pct_gdp,-14.086726188659668,negative,Agriculture
1993,gross_capital_formation_pct,-0.8996146321296692,negative,Investment
1993,trade_pct_gdp,-0.9802377820014954,negative,Trade
1993,services_va_pct_gdp,-1.4681055545806885,negative,Services
1993,brent_annual_avg_usd,-2.0531821250915527,negative,Oil Price
1993,industry_va_pct_gdp,-3.452331066131592,negative,Industry
1993,unemployment_rate,-3.6570115089416504,negative,Labor Market
1993,agriculture_va_pct_gdp,-14.006495475769043,negative,Agriculture
1994,trade_pct_gdp,-1.0819003582000732,negative,Trade
1994,gross_capital_formation_pct,-1.3598744869232178,negative,Investment
1994,services_va_pct_gdp,-1.7668622732162476,negative,Services
1994,unemployment_rate,-1.897288203239441,negative,Labor Market
1994,brent_annual_avg_usd,-1.9073408842086792,negative,Oil Price
1994,industry_va_pct_gdp,-2.7370097637176514,negative,Industry
1994,agriculture_va_pct_gdp,-12.708102226257324,negative,Agriculture
1995,gross_capital_formation_pct,0.06358368694782257,positive,Investment
1995,trade_pct_gdp,0.020026573911309242,positive,Trade
1995,unemployment_rate,-0.8875457048416138,negative,Labor Market
1995,brent_annual_avg_usd,-1.2732901573181152,negative,Oil Price
1995,services_va_pct_gdp,-1.6915847063064575,negative,Services
1995,industry_va_pct_gdp,-2.8824543952941895,negative,Industry
1995,agriculture_va_pct_gdp,-9.313010215759277,negative,Agriculture
1996,unemployment_rate,1.2601733207702637,positive,Labor Market
