year,oil_gdp_share_pct,nonoil_gdp_share_pct,brent_annual_avg_usd
1990,30.0477489768076,61.2551159618008,23.675833333333333
1991,29.6032934131737,64.7267964071856,20.010833333333334
1992,36.536586377876,54.8826787825979,19.305833333333336
1993,32.1487261146497,63.0105095541401,17.0425
1994,27.6519081932212,70.38844408860419,15.840833333333334
1995,30.9963445496298,63.286156153341395,17.044166666666666
1996,35.1496743028617,55.811315230915596,20.635
1997,36.9914194345059,55.944653769432904,19.118333333333336
1998,34.9561123059931,61.489275126431494,12.779166666666667
1999,39.1035999046383,57.4448358983868,17.846666666666668
2000,42.5383099128887,51.8704563277591,28.522499999999997
2001,43.4626382722552,49.317104372037,24.45
2002,46.1542268041237,46.409896907216506,24.963333333333335
2003,48.5398446792136,44.3503813055342,28.882499999999997
2004,50.7690323790767,42.7868045297883,38.23
2005,58.7877819924137,34.23278099421038,54.41833333333333
2006,64.9582315349244,30.600868442671082,65.14666666666666
2007,66.160328626082,28.296045556319513,72.465
2008,65.5185214713533,29.22974198499152,96.84750000000001
2009,56.2619552546943,37.44308526326136,61.49
2010,59.9948192629224,33.76074414223475,79.51166666666667
2011,61.7339963903076,32.78906340002306,111.26416666666667
2012,59.5173508549842,34.66207070402618,111.65166666666666
2013,57.0544154549517,36.8588223161803,108.6375
2014,53.5868546669355,39.50632137065552,99.02333333333333
2015,44.8913203383597,46.82806178742182,52.35333333333333
2016,47.5578070076723,44.927778476529625,43.54833333333334
2017,49.7017251037138,43.730540335353126,54.2475
2018,52.2509114518304,40.495555111621655,71.06083333333333
2019,48.8232665251868,42.667913773777066,64.35833333333333
2020,41.9563201571824,49.093183756532596,41.759166666666665
2021,48.8181736249399,43.42715700748469,70.66583333333334
2022,56.1467373576856,36.68366764273613,100.77749999999999
2023,45.8408458162374,45.275338589634856,82.46833333333333
2024,42.6119822379825,47.973515280559134,80.52666666666666
