period,p10,p50,p90
2025Q1,0.304,0.304,0.304
2025Q2,0.29352092011733466,0.29700106816116245,0.3009067924170547
2025Q3,0.2850310288310445,0.29016597889415585,0.29521344869805133
2025Q4,0.2771299336172872,0.28316754636264063,0.2897205403095363
2026Q1,0.26921771994431576,0.27661869570865594,0.28394925881040806
2026Q2,0.26187191780883234,0.2698064548318112,0.27816138111747
2026Q3,0.25488800245079674,0.2632090988769308,0.2722310068892863
2026Q4,0.24810777283278265,0.2563674938853733,0.266150701459187
2027Q1,0.24120817481229317,0.2502254990689623,0.26055760081574986
2027Q2,0.23409317428870188,0.24388435471627867,0.25467488111651065
2027Q3,0.22796329580259964,0.23743999805934168,0.2485435643415793
2027Q4,0.2216399509744593,0.2314108202737181,0.2430891414894805
2028Q1,0.21519349484350594,0.22520729418650703,0.23702598463421307
2028Q2,0.20907592775495729,0.21946188008201634,0.23127286972698075
2028Q3,0.20311823916049743,0.2137370472722036,0.22608406274001022
2028Q4,0.19747583451358083,0.20812383827305425,0.22035673483096063
2029Q1,0.1920123473090596,0.20285564634493697,0.21498536280307362
2029Q2,0.1865881777833118,0.19779030982331164,0.20960665310755833
2029Q3,0.18108045884745236,0.1922726869295752,0.20428951090368366
2029Q4,0.17626487295513776,0.18683748569474887,0.19920750665949744
2030Q1,0.17119649992967031,0.18198370803193734,0.19428264302704598
2030Q2,0.16663957952728883,0.17730709123787247,0.18935659178233805
2030Q3,0.1617696172722893,0.17239289069001068,0.18451763505947993
2030Q4,0.15698467974571373,0.16764889816784878,0.17986266611710464
2031Q1,0.15224161409070947,0.16303696942806256,0.17533081206202125
2031Q2,0.1476091882435151,0.15850531421181807,0.17088979402582388
2031Q3,0.14332623248749923,0.15444253834057378,0.16644667935450155
2031Q4,0.13875086804043757,0.15031045732866627,0.1622359602301485
2032Q1,0.13464184358285142,0.14553856660978615,0.15769654075023234
2032Q2,0.13081684264807472,0.1415100735412412,0.15351419463123486
2032Q3,0.1268158346485287,0.13741435413610908,0.14912779281130709
2032Q4,0.12333034924806613,0.1331758518634493,0.14537329044136996
2033Q1,0.11905960292246602,0.12955834082339474,0.14095222977881502
2033Q2,0.11579740277609397,0.1257175422174438,0.13705534737598205
2033Q3,0.11227862179553688,0.12212624203524,0.1335539981320345
