period,p10,p50,p90
2025Q1,0.696,0.696,0.696
2025Q2,0.6990932075829452,0.7029989318388375,0.7064790798826655
2025Q3,0.7047865513019486,0.7098340211058441,0.7149689711689555
2025Q4,0.7102794596904637,0.7168324536373594,0.7228700663827128
2026Q1,0.7160507411895919,0.723381304291344,0.7307822800556842
2026Q2,0.72183861888253,0.7301935451681888,0.7381280821911677
2026Q3,0.7277689931107136,0.7367909011230692,0.7451119975492032
2026Q4,0.733849298540813,0.7436325061146267,0.7518922271672174
2027Q1,0.7394423991842501,0.7497745009310377,0.7587918251877068
2027Q2,0.7453251188834893,0.7561156452837213,0.7659068257112981
2027Q3,0.7514564356584208,0.7625600019406582,0.7720367041974004
2027Q4,0.7569108585105195,0.7685891797262819,0.7783600490255407
2028Q1,0.7629740153657869,0.7747927058134929,0.7848065051564941
2028Q2,0.7687271302730194,0.7805381199179837,0.7909240722450427
2028Q3,0.7739159372599899,0.7862629527277964,0.7968817608395027
2028Q4,0.7796432651690395,0.7918761617269457,0.8025241654864191
2029Q1,0.7850146371969263,0.7971443536550631,0.8079876526909404
2029Q2,0.7903933468924417,0.8022096901766884,0.8134118222166882
2029Q3,0.7957104890963164,0.8077273130704248,0.8189195411525476
2029Q4,0.8007924933405026,0.8131625143052511,0.8237351270448623
2030Q1,0.805717356972954,0.8180162919680627,0.8288035000703297
2030Q2,0.8106434082176619,0.8226929087621275,0.8333604204727111
2030Q3,0.8154823649405202,0.8276071093099893,0.8382303827277107
2030Q4,0.8201373338828954,0.8323511018321512,0.8430153202542864
2031Q1,0.8246691879379787,0.8369630305719374,0.8477583859092905
2031Q2,0.8291102059741762,0.841494685788182,0.852390811756485
2031Q3,0.8335533206454985,0.8455574616594261,0.8566737675125008
2031Q4,0.8377640397698515,0.8496895426713338,0.8612491319595624
2032Q1,0.8423034592497677,0.8544614333902139,0.8653581564171486
2032Q2,0.846485805368765,0.8584899264587589,0.8691831573519254
2032Q3,0.8508722071886928,0.862585645863891,0.8731841653514713
2032Q4,0.8546267095586301,0.8668241481365506,0.8766696507519339
2033Q1,0.8590477702211851,0.8704416591766053,0.880940397077534
2033Q2,0.862944652624018,0.8742824577825562,0.884202597223906
2033Q3,0.8664460018679655,0.87787375796476,0.8877213782044631
2033Q4,0.8699811891706403,0.8814359247509941,0.8911211170670738
2034Q1,0.87416991455421,0.8847682894775749,0.8945665535566724
2034Q2,0.8773834691318073,0.8881386827560587,0.8978231958294982
2034Q3,0.8808784900768345,0.8912050733144659,0.9009174612330467
2034Q4,0.8844466708198062,0.8946329028893489,0.9044017133851615
2035Q1,0.8875452012878821,0.8980640271327003,0.9073787013838739
2035Q2,0.8906599076448666,0.9008837217988355,0.9102250779072508
2035Q3,0.8936007573960705,0.9038414196162872,0.9132581165443064
2035Q4,0.896843128876172,0.9067653932640183,0.9158200044571226
2036Q1,0.8996686205850633,0.9096048936677563,0.9183313032901592
2036Q2,0.9024135426830087,0.9124748925609825,0.9209392809171072
