period,p10,p50,p90
2025Q1,0.696,0.696,0.696
2025Q2,0.695683097483083,0.6996070152351673,0.7030911930116936
2025Q3,0.6979936059735107,0.7031169222563681,0.708280435432922
2025Q4,0.7002045297521722,0.7068406781600123,0.7129916655515995
2026Q1,0.7026761608519058,0.7102023451400151,0.7177778324588759
2026Q2,0.7052849835497531,0.7138623869385496,0.7221281285453773
2026Q3,0.7080582482255138,0.7174392433291759,0.7261350806044766
2026Q4,0.7110989140909123,0.7213708945523887,0.7300794075906046
2027Q1,0.7137142199001243,0.7246139992584884,0.7341948611821725
2027Q2,0.7166451179971416,0.7281777732451742,0.738702348856632
2027Q3,0.7199587144131288,0.7319733269815387,0.742129788899291
2027Q4,0.7226283412608819,0.7352827673076088,0.7459241369694743
2028Q1,0.7260622188532291,0.7389759632399026,0.7500319901634853
2028Q2,0.7291223715589981,0.7422866239241946,0.7538728822600772
2028Q3,0.7317222168959291,0.7455545492607922,0.7575517360031818
2028Q4,0.7349751018939619,0.7488520198928392,0.761073698573763
2029Q1,0.7380023604108034,0.7519039448024465,0.7644354040018482
2029Q2,0.741076098793125,0.75476670673636,0.7677901281289838
2029Q3,0.7441454812996917,0.758195870310246,0.77138430411311
2029Q4,0.7470550400887926,0.7617717249143086,0.7743533778457496
2030Q1,0.7499703750912559,0.7646210041207923,0.7776602005143779
2030Q2,0.7527371757156645,0.7673771048880775,0.7805713787076615
2030Q3,0.7555058818374343,0.7705315138497855,0.7836803059588416
2030Q4,0.7584220346739847,0.7736060540520778,0.7870795505436159
2031Q1,0.7611114651048632,0.7765951460062823,0.7903713836566088
2031Q2,0.7637678388250183,0.7795912592008898,0.7936800116272614
2031Q3,0.7665413045080421,0.7821267075874484,0.7966164821415576
2031Q4,0.7691808090194366,0.7847464249964806,0.800142816393612
2032Q1,0.7722356663325669,0.7884036514834803,0.8030971128261665
2032Q2,0.7748603547331036,0.7912015206995142,0.8057979488143677
2032Q3,0.778064897144166,0.7941003387462293,0.8087666534186057
2032Q4,0.7803855877509448,0.7973731986829031,0.8111914940326455
2033Q1,0.7837258217288737,0.7998402340418955,0.8147246751088881
2033Q2,0.7865706584613065,0.8027559310065124,0.8170815658442915
2033Q3,0.7889146391342446,0.8054684118693615,0.8199020595212544
2033Q4,0.7913416853409861,0.8081226980613954,0.8225724909323855
2034Q1,0.7947592751091508,0.8105802114108405,0.8254403526404513
2034Q2,0.7969013257324579,0.8132742543984416,0.8280699378178881
2034Q3,0.7996065910080291,0.8155156014683141,0.8305450243599457
2034Q4,0.8024839971839485,0.8184001479698955,0.8338600212083068
2035Q1,0.8047713283622064,0.8214660992046421,0.8365154950620654
2035Q2,0.8071888751952726,0.8236354398169319,0.8388467181949901
2035Q3,0.8094930343361874,0.8261561336181431,0.8416728919330067
2035Q4,0.8121716649365802,0.8287376393773626,0.8438883396349537
2036Q1,0.814398977180654,0.8312796584127079,0.8462536002541926
2036Q2,0.8166871215474063,0.8339282513361959,0.8485738202157427
2036Q3,0.8189318094528262,0.8363678696867127,0.8506335618201618
2036Q4,0.8213438219300526,0.8385520141980772,0.8529143061801461
2037Q1,0.8239050297422451,0.840929765935807,0.8556439711341756
2037Q2,0.825504289273021,0.8428783502780268,0.8577181556962182
2037Q3,0.8284433322353423,0.8450327523058028,0.8600587305346759
2037Q4,0.8308459979883035,0.8472948451820059,0.8620791158098358
2038Q1,0.8332715674985589,0.8496527713169699,0.8645858714353762
2038Q2,0.8357956040021539,0.8516375140152237,0.8661725870788067
2038Q3,0.8382976467033555,0.8540541507113288,0.8682037569336912
2038Q4,0.8399288937698937,0.8562770776212996,0.8708815571203937
2039Q1,0.8415852916861076,0.8582854175653721,0.8732057694144432
2039Q2,0.8441922752473716,0.8602267545047075,0.8756120851207971
2039Q3,0.8454763100607887,0.862276783521247,0.8771376239808003
2039Q4,0.8480242043599223,0.8644413809830529,0.8792863780738421
2040Q1,0.8497860893539176,0.8665614696417783,0.8811579685675892
2040Q2,0.8521787294751665,0.8684823935271049,0.8825355359467503
2040Q3,0.8538557008106578,0.8705356127192507,0.8845514983237012
2040Q4,0.8557271315544137,0.8725650990844502,0.886499840112777
2041Q1,0.857283842796881,0.8745383152125805,0.887902888914072
2041Q2,0.8590936891585516,0.876240922206071,0.8898507726802194
2041Q3,0.8616220046372955,0.8779110529881002,0.8917343704284794
2041Q4,0.8636249350017443,0.8800055609230726,0.8934841731473703
2042Q1,0.8656917521011878,0.8820027301975147,0.8953240689408533
2042Q2,0.8675744434220239,0.8840475499761207,0.897164522373684
2042Q3,0.8690558942822911,0.8858536247786626,0.8992936461826435
2042Q4,0.8714367317587052,0.8875435004134093,0.9005420037949724
2043Q1,0.8730928487514702,0.8890456752454695,0.9021662550205725
2043Q2,0.8750625269067998,0.8908276192966056,0.9037511769779479
2043Q3,0.8769141859502007,0.892396316594563,0.9053066267052908
2043Q4,0.8786183577376255,0.8940949494106474,0.9068790944835164
2044Q1,0.8797910401429833,0.8954209486768742,0.9086059125853841
2044Q2,0.8817154061159544,0.8967317893343396,0.9101046939986889
2044Q3,0.8836801101204381,0.8984397992437252,0.9113950914426661
2044Q4,0.8849058650525397,0.8999778743181062,0.912893735306378
2045Q1,0.8866304298741318,0.9016571211901888,0.9142254872832629
2045Q2,0.8882135850046932,0.9032246295159194,0.916008517833532
2045Q3,0.8901111400355521,0.9046744104025022,0.9177366198420731
2045Q4,0.8919537804684019,0.9059282261533351,0.9190981097582807
2046Q1,0.8933303158600561,0.9076963168231826,0.919921898793645
2046Q2,0.8948826426336425,0.9093666964587803,0.9214886340146827
2046Q3,0.8964829767258462,0.9107794552462771,0.9226762395055782
2046Q4,0.8977261914568888,0.9122393155206794,0.9241027553469595
2047Q1,0.8997577024143025,0.9137682522468636,0.9252593032158783
2047Q2,0.9010884802023136,0.9150152811330641,0.9268079567800724
2047Q3,0.9023339446212606,0.9161089492764731,0.9278883714830438
2047Q4,0.9039803848129098,0.917477685450236,0.9291361874823643
