period,p10,p50,p90
2025Q1,0.42611982237982504,0.42611982237982504,0.42611982237982504
2025Q2,0.42846839976326634,0.43280042685066444,0.4367752973775721
2025Q3,0.43394751921308816,0.43957347448828743,0.44529252081577275
2025Q4,0.4393589195693006,0.4467593530865146,0.4542129464274438
2026Q1,0.44475646592131285,0.4539262002122326,0.4628486863649849
2026Q2,0.4508192548296102,0.4608475278761266,0.4706351136385111
2026Q3,0.4576500795418035,0.4681397893240411,0.4794905364326355
2026Q4,0.4633051531023311,0.4761263959983858,0.48781034711202154
2027Q1,0.47024640964656705,0.4835805749344357,0.4961000818412041
2027Q2,0.47642644212202584,0.4915834556476243,0.5056832703727808
2027Q3,0.4845207846800382,0.499780192182093,0.514450991973771
2027Q4,0.49146251648296524,0.5073342497945854,0.523669586604092
2028Q1,0.49955934109916095,0.5161798382412004,0.5329317830662788
2028Q2,0.5062773274135163,0.5240332453419941,0.5424814933027299
2028Q3,0.5134995486161545,0.5334461214202304,0.5509907189935863
2028Q4,0.5212026136078292,0.5417224892080632,0.5607010471835314
2029Q1,0.5288690320348021,0.5497762844510781,0.5704462922099683
2029Q2,0.53703558453818,0.5585645469966494,0.5798355295294241
2029Q3,0.5453379947540986,0.5674741470065524,0.5899028457000889
2029Q4,0.5524823766854362,0.5769701137224128,0.5997081711312429
2030Q1,0.5615675508803096,0.585763560451086,0.6091795681841505
2030Q2,0.5695226315914489,0.5948316298705674,0.6195103272710676
2030Q3,0.5784196165084606,0.6044312846521067,0.6295486634900164
2030Q4,0.5869601185489058,0.614172024195759,0.6396626022621434
2031Q1,0.5947732109724914,0.6238729327893848,0.6510850896815783
2031Q2,0.6049547398353362,0.6337168455473932,0.6611792016993708
2031Q3,0.61368114273337,0.644128348887203,0.6736283782156451
2031Q4,0.6219658631466483,0.653944151866638,0.6842536338135681
2032Q1,0.6318491259636151,0.6641011289905916,0.6961104461848608
2032Q2,0.641370919956826,0.6747700825269675,0.7082212470102276
2032Q3,0.6499376893287572,0.6860270346440465,0.7200891584174584
2032Q4,0.6604375523142121,0.6961812116506015,0.7321316413491087
2033Q1,0.6709966919863772,0.7074226843481464,0.7446521678958078
2033Q2,0.6812888395023151,0.7194559177573562,0.756018242489561
2033Q3,0.6933927569371958,0.730563669984122,0.7680929931874951
2033Q4,0.7029445718560042,0.7419612492869643,0.7834285898395961
2034Q1,0.7132926677462276,0.7544652532488885,0.7958277479716314
2034Q2,0.7233510349722645,0.7651139485353369,0.8099941389124126
2034Q3,0.7330543262259159,0.7782459762175685,0.8234427164410989
2034Q4,0.74376908921242,0.7893657037340763,0.8374596239616627
2035Q1,0.7545714494699765,0.8019316291751512,0.8522464037750286
2035Q2,0.7657747163208556,0.8155404535432618,0.8658401437200436
2035Q3,0.7792871938797552,0.8294749750693776,0.87922486332951
2035Q4,0.791793607754384,0.8431517158993918,0.8932821434995272
2036Q1,0.8037117056290617,0.8572051213725272,0.9102378907652392
2036Q2,0.8142927335691607,0.8697050358817697,0.9254263978675946
2036Q3,0.8265438054153337,0.8838265264621709,0.9407794946010328
2036Q4,0.8366771181589683,0.8972325213740682,0.9550991567409753
2037Q1,0.8501976864531818,0.9115683490194624,0.9714376151678868
2037Q2,0.8613029996165181,0.9251636668391909,0.9887869992712064
2037Q3,0.8765027106843327,0.9397387951977276,1.005141512343769
2037Q4,0.8908424053340035,0.9549019607608078,1.0213647702542958
2038Q1,0.9030475057099333,0.9694210564956445,1.0374266040227038
2038Q2,0.9183473087375296,0.9853298101268441,1.0539069768397906
2038Q3,0.9307542239019779,1.000406157923012,1.069104682865338
2038Q4,0.9456244696132468,1.0186965368717096,1.0874391361369147
2039Q1,0.9586130901712895,1.0344321873465308,1.1063063109765634
2039Q2,0.9719265304981832,1.0532990615314368,1.1256424282840358
2039Q3,0.9860986194027057,1.0694159263469531,1.1428152206983204
2039Q4,1.0006966314459766,1.0857215207280275,1.162597347159415
2040Q1,1.0172296884062233,1.1036577881902772,1.1829481570503746
2040Q2,1.0309317854141493,1.1209979329804496,1.202782076366795
2040Q3,1.0442779472949792,1.1381158706566972,1.2219904923746028
2040Q4,1.0611381822454908,1.157048390394627,1.241630637350342
2041Q1,1.0772009630463593,1.1745780502474665,1.2623226591822712
2041Q2,1.0955776073893946,1.1932036408073456,1.2831305033472944
2041Q3,1.1129673781691154,1.2107557341136432,1.3026963066430055
2041Q4,1.1312389771036375,1.2300027764447687,1.3278017348111293
2042Q1,1.1486438124939602,1.25231801234716,1.3488699538173776
2042Q2,1.1686499928955685,1.2702002387935534,1.3715962846325276
2042Q3,1.184087625034994,1.2913148078362406,1.391409241077513
2042Q4,1.2031471859327967,1.3121515812834705,1.4142737082881494
2043Q1,1.2255174855087094,1.3334995962669987,1.438244514202163
2043Q2,1.2422500142643529,1.354066971244216,1.464168127326376
2043Q3,1.2644164781412792,1.3779912387722248,1.4894631978800992
2043Q4,1.2817746807012786,1.397406085481926,1.5148529712659062
2044Q1,1.303701665200816,1.419331384701247,1.5410313318724624
2044Q2,1.32110344431544,1.4410452383373147,1.565854222907522
2044Q3,1.341432816450229,1.4651926794733368,1.5904363794326701
2044Q4,1.3639985154804,1.4880679649207642,1.6159270656256115
